province_state,country_region,Bulanan,latitude,longitude,confirmed,deaths,recovered,active
,Laos,2023-02-28,19.85627,102.495496,6104050,21224,,
Johor,Malaysia,2023-02-28,1.4854,103.7618,11155140,131922,,
Kedah,Malaysia,2023-02-28,6.1184,100.3685,8922638,76679,,
Kelantan,Malaysia,2023-02-28,6.1254,102.2381,7282779,39872,,
Melaka,Malaysia,2023-02-28,2.1896,102.2501,4063559,33656,,
Negeri Sembilan,Malaysia,2023-02-28,2.7258,101.9424,6469128,43023,,
Pahang,Malaysia,2023-02-28,3.8126,103.3256,5115251,28854,,
Perak,Malaysia,2023-02-28,4.5921,101.0901,6694011,59463,,
Perlis,Malaysia,2023-02-28,6.4449,100.2048,532012,5544,,
Pulau Pinang,Malaysia,2023-02-28,5.4141,100.3288,8612655,57792,,
Sabah,Malaysia,2023-02-28,5.9788,116.0753,11392456,89619,,
Sarawak,Malaysia,2023-02-28,1.5533,110.3592,9085668,50036,,
Selangor,Malaysia,2023-02-28,3.0738,101.5183,43385808,307466,,
Terengganu,Malaysia,2023-02-28,5.3117,103.1324,3723644,25172,,
Unknown,Malaysia,2023-02-28,,,0,0,,
W.P. Kuala Lumpur,Malaysia,2023-02-28,3.139,101.6869,13131686,80220,,
W.P. Labuan,Malaysia,2023-02-28,5.2831,115.2308,642855,4424,,
W.P. Putrajaya,Malaysia,2023-02-28,2.9264,101.6964,910285,896,,
,Philippines,2023-02-28,12.879721,121.774017,114097519,1847070,,
,Singapore,2023-02-28,1.2833,103.8333,62199304,48216,,
,Thailand,2023-02-28,15.870032,100.992541,132370906,948939,,
,Vietnam,2023-02-28,14.058324,108.277199,322748399,1209208,,
,Brunei,2022-02-28,4.5353,114.7277,834216,2895,,
,Burma,2022-02-28,21.9162,95.956,15549726,541105,,
,Cambodia,2022-02-28,11.55,104.9167,3491835,84516,,
Anhui,China,2022-02-28,31.8257,117.2264,28269,168,,
Beijing,China,2022-02-28,40.1824,116.4142,38802,252,,
Chongqing,China,2022-02-28,30.0572,107.874,17185,168,,
Fujian,China,2022-02-28,26.0789,117.9874,42008,28,,
Gansu,China,2022-02-28,35.7518,104.2861,10061,56,,
Guangdong,China,2022-02-28,23.3417,113.4244,114008,224,,
Guangxi,China,2022-02-28,23.8298,108.7881,26534,56,,
Guizhou,China,2022-02-28,26.8154,106.8748,4527,56,,
Hainan,China,2022-02-28,19.1959,109.7453,5321,168,,
Hebei,China,2022-02-28,37.8957,114.9042,41320,196,,
Heilongjiang,China,2022-02-28,47.861999999999995,127.7615,57882,364,,
Henan,China,2022-02-28,33.882,113.61399999999999,74545,616,,
Hong Kong,China,2022-02-28,22.3,114.2,920606,8377,,
Hubei,China,2022-02-28,30.9756,112.2707,1913155,126336,,
Hunan,China,2022-02-28,27.6104,111.7088,34492,112,,
Inner Mongolia,China,2022-02-28,44.0935,113.9448,36350,28,,
Jiangsu,China,2022-02-28,32.9711,119.455,47132,0,,
Jiangxi,China,2022-02-28,27.614,115.7221,26852,28,,
Jilin,China,2022-02-28,43.6661,126.1923,16700,84,,
Liaoning,China,2022-02-28,41.2956,122.6085,25356,56,,
Macau,China,2022-02-28,22.1667,113.55,2221,0,,
Ningxia,China,2022-02-28,37.2692,106.1655,3416,0,,
Qinghai,China,2022-02-28,35.7452,95.9956,840,0,,
